,size,depth,capability,distinction,kendall_tau
0,1247,2,Developing quantitative reasoning and analytical problem-solving skills,Quantitative reasoning and problem-solving skills,0.8333333333333334
1,223,3,Enhancing statistical and probabilistic reasoning and analysis skills,Statistical and probabilistic skills,0.8888888888888888
2,76,4,Analyzing and applying probabilistic and statistical reasoning and techniques,Probabilistic reasoning application,0.8574929257125441
3,566,3,Utilizing mathematical reasoning and problem-solving principles,Mathematical reasoning principles,0.7777777777777778
4,296,4,Analyzing and applying mathematical and algebraic principles and structures,Algebraic principles analysis,0.8888888888888888
5,75,5,Utilizing analytical reasoning and mathematical interpretation skills,Analytical reasoning and interpretation,0.6479515952918627
6,64,6,Analyzing and interpreting numerical and mathematical systems and operations,Numerical and mathematical analysis,0.611111111111111
7,270,4,Applying mathematical reasoning and problem-solving techniques,Mathematical reasoning techniques,0.7042952122737639
8,105,5,Performing mathematical manipulations and problem-solving through algebraic and arithmetic techniques,Algebraic and arithmetic problem-solving techniques,0.4714045207910316
9,165,5,Utilizing mathematical reasoning to solve complex problems,Solving complex problems with mathematical reasoning,0.7042952122737639
10,103,6,Analyzing and solving mathematical and logical problems and relationships across various contexts,Analyzing mathematical and logical relationships,0.611111111111111
11,62,6,"Applying mathematical reasoning and principles to solve diverse quantitative, functional, and scientific problems",Solving diverse quantitative and scientific problems,0.6479515952918627
12,458,3,Conducting comprehensive quantitative reasoning and analysis,Comprehensive quantitative analysis,0.611111111111111
13,123,4,Analyzing and calculating financial and quantitative metrics,Financial metrics analysis and calculation,0.7042952122737639
14,162,4,Performing advanced mathematical and quantitative reasoning,Advanced mathematical reasoning,0.4225771273642583
15,173,4,Performing quantitative analysis and numerical reasoning,Quantitative analysis and reasoning,0.4789207443461594
16,55,5,Conducting quantitative analysis and interpretation,Quantitative interpretation,0.36623351038235713
17,55,5,Performing comprehensive numerical calculations and reasoning,Comprehensive numerical reasoning,0.7071067811865475
18,1220,2,"Analyzing and synthesizing complex biological, physiological, and ecological systems and interactions",Biological and ecological systems analysis,0.8888888888888888
19,485,3,"Analyzing and synthesizing complex biological, biochemical, and physiological systems and processes to evaluate health impacts and functional interrelationships","Biological, biochemical, and physiological health evaluation",0.8333333333333334
20,126,4,"Analyzing and synthesizing biochemical and metabolic pathways to assess conditions, evaluate energy production, and interpret processes and conversions",Biochemical pathways and energy assessment,0.9296696802013682
21,80,5,"Analyzing and synthesizing metabolic and biochemical pathways to assess conditions, interpret deficiencies, evaluate functions, and identify disorders and treatments",Assess conditions and identify disorders,0.7042952122737639
22,72,6,"Analyzing and synthesizing biochemical and metabolic pathways to evaluate functions, regulatory mechanisms, and health implications",Evaluating pathway functions and health impacts,0.7431605356175383
23,105,4,"Analyzing, synthesizing, and evaluating biological concepts, processes, structures, and systems to understand functions, interrelationships, and protective mechanisms.",Biological functions and interrelationships,0.8733260632194672
24,73,4,Synthesizing and analyzing complex biological systems and processes,Complex biological systems synthesis,0.7777777777777778
25,60,5,"Synthesizing and evaluating complex biological, ecological, biochemical, and pharmacological systems and processes",Complex systems synthesis and evaluation,0.6481812160876685
26,68,4,Analyzing and synthesizing biochemical and chemical processes and structures,Biochemical processes and structures,0.7833494518006403
27,58,5,Analyzing and synthesizing biochemical and molecular processes and interactions,Biochemical process synthesis and interaction analysis,0.7833494518006403
28,194,3,Analyzing and synthesizing complex biological and physiological information across diverse contexts,Biological and physiological context analysis,0.760638829255665
29,74,4,Analyzing and synthesizing neurophysiological and physiological information,Neurophysiological and physiological data synthesis,0.760638829255665
30,51,5,Analyzing and synthesizing neuroanatomical and neurophysiological information for comprehensive functional understanding,Neuroanatomical and neurophysiological functional synthesis,0.6092717958449424
31,120,4,Analyzing and synthesizing biological and anatomical structures and functions across diverse applications and species,Biological and anatomical analysis across species,0.6479515952918627
32,73,5,"Analyzing and understanding anatomical structures, functions, and relationships across species and within the human body",Cross-species anatomical analysis,0.5916079783099616
