node,depth,gpt-4o-mini-2024-07-18,deepseek-math-7b-instruct,Llama-3.1-8B-Instruct,dart-math-llama3-8b-uniform,Llama-3-8B-Instruct
0,2.0,0.5947169811320755,0.420377358490566,0.4143396226415094,0.3818867924528302,0.2550943396226415
1,3.0,0.4666666666666667,0.38095238095238093,0.41904761904761906,0.3904761904761905,0.23809523809523808
2,3.0,0.7310924369747899,0.6218487394957983,0.5714285714285714,0.6050420168067226,0.37815126050420167
3,3.0,0.6290322580645161,0.5,0.5645161290322581,0.3870967741935484,0.3225806451612903
4,3.0,0.40930232558139534,0.2651162790697674,0.26976744186046514,0.23255813953488372,0.15813953488372093
5,3.0,0.6976744186046512,0.4558139534883721,0.4558139534883721,0.4186046511627907,0.2837209302325581
6,4.0,0.6222222222222222,0.37777777777777777,0.37777777777777777,0.34814814814814815,0.2962962962962963
7,5.0,0.525,0.3125,0.3375,0.2625,0.2625
8,3.0,0.6857142857142857,0.4666666666666667,0.5238095238095238,0.4380952380952381,0.24761904761904763
9,4.0,0.6417910447761194,0.4626865671641791,0.44776119402985076,0.44776119402985076,0.26865671641791045
10,3.0,0.967741935483871,0.7903225806451613,0.7096774193548387,0.6774193548387096,0.5645161290322581
11,3.0,0.47023809523809523,0.31547619047619047,0.26785714285714285,0.24404761904761904,0.16666666666666666
12,4.0,0.44936708860759494,0.310126582278481,0.2721518987341772,0.23417721518987342,0.16455696202531644
13,5.0,0.3333333333333333,0.21839080459770116,0.19540229885057472,0.16091954022988506,0.09195402298850575
14,5.0,0.6470588235294118,0.5098039215686274,0.39215686274509803,0.37254901960784315,0.27450980392156865
15,3.0,0.6198830409356725,0.39766081871345027,0.39766081871345027,0.4269005847953216,0.26900584795321636
16,3.0,0.5631067961165048,0.36893203883495146,0.3300970873786408,0.2621359223300971,0.17475728155339806
17,2.0,0.7787878787878788,0.4909090909090909,0.5292929292929293,0.4888888888888889,0.3181818181818182
18,3.0,0.8615384615384616,0.6,0.6384615384615384,0.5846153846153846,0.4153846153846154
19,3.0,0.7349397590361446,0.42168674698795183,0.4819277108433735,0.463855421686747,0.25301204819277107
20,3.0,0.7758620689655172,0.39655172413793105,0.4942528735632184,0.41379310344827586,0.27011494252873564
21,3.0,0.875,0.6111111111111112,0.6666666666666666,0.5833333333333334,0.4027777777777778
22,3.0,0.7215189873417721,0.4177215189873418,0.46835443037974683,0.4430379746835443,0.34177215189873417
23,3.0,0.6333333333333333,0.32222222222222224,0.32222222222222224,0.28888888888888886,0.17777777777777778
24,4.0,0.5892857142857143,0.3392857142857143,0.32142857142857145,0.26785714285714285,0.17857142857142858
25,3.0,0.9295774647887324,0.795774647887324,0.7394366197183099,0.7112676056338029,0.4788732394366197
26,3.0,0.6788321167883211,0.36496350364963503,0.40875912408759124,0.40145985401459855,0.23357664233576642
27,4.0,0.7375,0.3,0.325,0.3375,0.2
