node,gpt-4o-2024-08-06,gpt-3.5-turbo-0613,deepseek-coder-6.7b-base
0,0.6403508771929824,0.34210526315789475,0.24561403508771928
1,0.47619047619047616,0.30687830687830686,0.2804232804232804
2,0.5294117647058824,0.4117647058823529,0.3137254901960784
3,0.5,0.35294117647058826,0.2222222222222222
4,0.5087719298245614,0.3684210526315789,0.15789473684210525
5,0.48314606741573035,0.3258426966292135,0.19101123595505617
6,0.5185185185185185,0.24074074074074073,0.24074074074074073
7,0.7548387096774194,0.5935483870967742,0.5225806451612903
8,0.7570093457943925,0.5981308411214953,0.5327102803738317
9,0.6991525423728814,0.3813559322033898,0.3474576271186441
10,0.7037037037037037,0.37037037037037035,0.3333333333333333
11,0.6978021978021978,0.38461538461538464,0.3516483516483517
12,0.6739130434782609,0.35507246376811596,0.36231884057971014
