node,depth,gpt-4o-2024-08-06,gpt-3.5-turbo-0613,deepseek-coder-6.7b-base
0,1,0.6991525423728814,0.3813559322033898,0.3474576271186441
1,1,0.7548387096774194,0.5935483870967742,0.5225806451612903
2,1,0.5,0.35294117647058826,0.2222222222222222
3,1,0.47619047619047616,0.30687830687830686,0.2804232804232804
4,1,0.6403508771929824,0.34210526315789475,0.24561403508771928
5,2,0.6978021978021978,0.38461538461538464,0.3516483516483517
6,2,0.7037037037037037,0.37037037037037035,0.3333333333333333
7,2,0.75,0.5833333333333334,0.5
8,2,0.7570093457943925,0.5981308411214953,0.5327102803738317
9,2,0.5185185185185185,0.24074074074074073,0.24074074074074073
10,2,0.4897959183673469,0.42857142857142855,0.2653061224489796
11,2,0.5454545454545454,0.45454545454545453,0.2727272727272727
12,2,0.48314606741573035,0.3258426966292135,0.19101123595505617
13,2,0.5,0.41304347826086957,0.2826086956521739
14,2,0.5087719298245614,0.3684210526315789,0.15789473684210525
15,2,0.5454545454545454,0.18181818181818182,0.2727272727272727
16,2,0.5294117647058824,0.4117647058823529,0.35294117647058826
17,2,0.7368421052631579,0.3684210526315789,0.5263157894736842
18,2,0.4583333333333333,0.4166666666666667,0.25
19,2,0.5294117647058824,0.4117647058823529,0.3137254901960784
20,2,0.45,0.15,0.15
21,2,0.45454545454545453,0.2727272727272727,0.09090909090909091
22,2,0.23529411764705882,0.23529411764705882,0.11764705882352941
23,2,0.4166666666666667,0.08333333333333333,0.4166666666666667
24,2,0.0,0.0,0.14285714285714285
25,2,0.7222222222222222,0.3333333333333333,0.3333333333333333
26,2,0.6363636363636364,0.2727272727272727,0.0
27,2,0.631578947368421,0.5263157894736842,0.3157894736842105
28,2,0.6363636363636364,0.18181818181818182,0.36363636363636365
29,2,0.2,0.6,0.6
30,2,0.7368421052631579,0.42105263157894735,0.0
31,2,1.0,0.5,1.0
32,2,0.6,0.4,0.4
33,2,0.2857142857142857,0.0,0.0
34,2,0.6666666666666666,0.2,0.2
35,3,0.7727272727272727,0.4772727272727273,0.3181818181818182
36,3,0.6739130434782609,0.35507246376811596,0.36231884057971014
37,3,0.625,0.375,0.625
38,3,0.8461538461538461,0.5384615384615384,0.3076923076923077
39,3,0.5714285714285714,0.0,0.0
40,3,1.0,0.6666666666666666,0.3333333333333333
41,3,0.0,0.0,0.0
42,3,0.7,0.4,0.4
43,3,1.0,0.6,0.8
44,3,0.5,0.0,0.0
45,3,0.5,0.5,0.0
46,3,0.8823529411764706,0.7058823529411765,0.5294117647058824
47,3,0.6774193548387096,0.5161290322580645,0.4838709677419355
48,3,1.0,1.0,0.6666666666666666
49,3,1.0,0.875,1.0
50,3,1.0,0.8333333333333334,0.8333333333333334
51,3,0.4444444444444444,0.2222222222222222,0.2222222222222222
52,3,0.9,0.7,0.6
53,3,0.5454545454545454,0.45454545454545453,0.5454545454545454
54,3,0.875,0.75,0.75
55,3,0.7619047619047619,0.5714285714285714,0.42857142857142855
56,3,0.7142857142857143,0.5714285714285714,0.38095238095238093
57,3,0.5714285714285714,0.2857142857142857,0.42857142857142855
58,3,0.8333333333333334,0.3333333333333333,0.3333333333333333
59,3,0.0,0.0,0.0
60,3,0.0,0.0,0.0
61,3,1.0,0.25,0.75
62,3,0.2,0.0,0.2
63,3,0.6,0.0,0.0
64,3,0.3333333333333333,0.0,0.0
65,3,0.2,0.2,0.0
66,3,0.7333333333333333,0.6,0.4666666666666667
67,3,0.6666666666666666,0.0,0.0
68,3,1.0,1.0,0.75
69,3,0.5,0.0,0.0
70,3,0.5454545454545454,0.45454545454545453,0.2727272727272727
71,3,0.0,0.5,0.0
72,3,0.0,0.0,0.3333333333333333
73,3,0.5,0.25,0.25
74,3,0.5,0.375,0.5
75,3,0.0,0.0,0.3333333333333333
76,3,0.6666666666666666,0.6666666666666666,0.0
77,3,0.5,0.5,0.0
78,3,0.0,0.0,0.0
79,3,0.5,0.75,0.5
80,3,0.5,0.25,0.0
81,3,1.0,0.5,0.5
82,3,0.5,0.6,0.1
83,3,0.4,0.2,0.0
84,3,0.6,0.4666666666666667,0.3333333333333333
85,3,1.0,0.4,0.4
86,3,0.4166666666666667,0.3333333333333333,0.16666666666666666
87,3,0.16666666666666666,0.16666666666666666,0.0
88,3,0.4,0.2,0.1
89,3,0.5714285714285714,0.42857142857142855,0.2857142857142857
90,3,0.47058823529411764,0.17647058823529413,0.23529411764705882
91,3,0.0,0.0,0.0
92,3,1.0,1.0,1.0
93,3,0.0,0.0,0.0
94,3,0.2,0.0,0.0
95,3,0.5454545454545454,0.36363636363636365,0.2727272727272727
96,3,0.5,0.6666666666666666,0.3333333333333333
97,3,0.5,0.25,0.25
98,3,1.0,0.8,0.8
99,3,0.2,0.0,0.0
100,3,1.0,1.0,0.3333333333333333
101,3,0.3333333333333333,0.6666666666666666,0.3333333333333333
102,3,1.0,0.3333333333333333,0.0
103,3,0.3888888888888889,0.3333333333333333,0.05555555555555555
104,3,1.0,0.6,0.2
105,3,0.6666666666666666,0.5,0.5
106,3,0.3333333333333333,0.0,0.0
107,3,0.5,0.0,0.5
108,3,1.0,0.6,0.4
109,3,0.0,0.0,0.0
110,3,0.25,0.4166666666666667,0.08333333333333333
111,3,0.0,0.0,0.0
112,3,1.0,1.0,0.0
113,3,0.0,0.0,0.0
114,3,1.0,0.0,0.5
115,3,0.5,0.0,0.5
116,3,0.0,0.0,0.0
117,3,0.5,0.0,0.5
118,3,1.0,1.0,0.0
119,3,0.0,0.3333333333333333,0.0
120,3,0.6363636363636364,0.36363636363636365,0.36363636363636365
121,3,0.6666666666666666,0.6666666666666666,0.6666666666666666
122,3,1.0,1.0,1.0
123,3,1.0,0.0,0.75
124,3,1.0,1.0,1.0
125,3,0.6666666666666666,0.0,0.0
126,3,0.0,0.0,0.0
127,3,1.0,0.3333333333333333,0.6666666666666666
128,3,0.0,0.3333333333333333,0.0
129,3,0.6666666666666666,0.6666666666666666,0.3333333333333333
130,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
131,3,0.5,0.5,0.0
132,3,0.0,0.0,0.0
