,size,depth,capability,distinction,kendall_tau
0,1517,2,"Crafting immersive, emotionally resonant, and character-driven narratives with dynamic storytelling and thematic depth across diverse contexts.",Immersive and resonant narrative crafting,1.0
1,293,3,"Crafting and facilitating engaging, emotionally resonant, and character-driven dialogue and interactions across diverse contexts and themes","Engaging, character-driven dialogue across themes",1.0
2,91,4,"Crafting engaging, emotionally resonant dialogue exploring complex relationships, cultural themes, and humor.","Complex, cultural, humorous dialogue",1.0
3,55,5,"Crafting emotionally resonant and nuanced dialogue that explores complex character relationships, motivations, and emotional depth.",Nuanced emotional dialogue on relationships,1.0
4,85,4,"Crafting engaging, dynamic, empathetic, and humorous dialogues and interactions across diverse contexts","Dynamic, humorous interactions",1.0
5,71,5,"Crafting engaging, dynamic, and empathetic character dialogues and interactions in diverse narrative and interactive contexts",Empathetic character interactions,1.0
6,57,6,"Crafting engaging, dynamic, and imaginative character dialogues for diverse narrative and interactive contexts",Dynamic and imaginative dialogues,1.0
7,106,3,"Crafting dynamic and engaging narratives with vivid dialogue, character development, and comprehensive analysis",Dynamic narratives with vivid dialogue,1.0
8,91,4,Crafting dynamic and engaging sports narratives with vivid dialogue and comprehensive analysis,Sports narratives with vivid analysis,1.0
9,67,5,Crafting engaging and dynamic sports narratives with comprehensive analysis and vivid storytelling,Comprehensive sports storytelling with analysis,1.0
10,336,3,Crafting culturally integrated and emotionally resonant narratives and expressions,"Culturally integrated, emotionally resonant stories",1.0
11,262,4,"Crafting comprehensive, engaging, and culturally integrated narratives through innovative storytelling and analysis.",Culturally integrated storytelling,1.0
12,74,4,Crafting emotionally resonant and thematically rich artistic and literary expressions,Emotionally rich artistic expressions,
13,141,3,"Crafting imaginative, humorous, and character-driven narratives with emotional depth and observational wit","Imaginative, humorous, character-driven tales",-1.0
14,96,4,Crafting imaginative and engaging narratives with humor and emotional depth,Imaginative humor with emotional depth,-1.0
15,89,5,"Crafting imaginative and engaging narratives with humor, cultural insights, emotional depth, and collaborative themes",Narratives with cultural insights and emotional depth,-1.0
16,57,6,"Crafting imaginative, humorous, and whimsical narratives with vivid characters, creative elements, and collaborative themes",Imaginative and whimsical narratives with vivid characters,-1.0
17,148,3,Analyzing and crafting thematically rich and immersive narratives,Thematically rich narrative analysis,1.0
18,66,4,Crafting emotionally versatile and thematically rich character narratives,Emotionally rich character narratives,1.0
19,56,5,Analyzing and interpreting emotional and narrative dynamics through character relationships and thematic exploration,Character relationship and theme analysis,1.0
20,493,3,Crafting immersive and emotionally engaging narratives through dynamic storytelling and intricate character development.,"Immersive, emotional storytelling with character depth",1.0
21,175,4,"Crafting immersive, intricate, and emotionally engaging narratives through dynamic storytelling, character development, and imaginative world-building.",Imaginative world-building narratives,1.0
22,56,5,Crafting intricate and imaginative narratives with complex character and plot development,Intricate character and plot development,1.0
23,51,6,Crafting intricate and immersive narratives with complex character development and detailed world-building.,Intricate narratives with character depth and world-building,1.0
24,318,4,Crafting immersive and emotionally resonant narratives with intricate character development and dynamic storytelling.,Intricate character-driven storytelling,1.0
25,52,5,Crafting immersive and dynamic narratives with intricate character development and cohesive plotlines,Dynamic narratives with cohesive plotlines,1.0
26,71,5,Crafting immersive and emotionally resonant narratives through vivid and intricate character development and dynamic storytelling,Vivid character development and storytelling,1.0
27,60,5,"Crafting intricate and compelling narratives intertwining complex themes, character dynamics, and human emotions",Intricate narratives with complex themes,1.0
28,58,6,"Crafting intricate narratives intertwining complex themes, character development, and human emotions",Intricate narrative crafting with complex themes and emotions,1.0
29,53,7,"Crafting intricate narratives exploring complex character and social dynamics, thematic depth, and human emotions.",Character and social dynamics with emotional depth,1.0
30,60,5,"Crafting imaginative and emotionally resonant narratives with thematic depth, character development, and atmospheric detail.",Imaginative narratives with thematic depth,1.0
31,1123,2,"Crafting clear, engaging, and impactful written communication across diverse platforms and formats.",Engaging written communication crafting,1.0
32,168,3,Enhancing and structuring communicative clarity through diverse and effective content creation,Structuring clarity in content creation,1.0
33,128,4,Enhancing and structuring communicative clarity and precision across contexts,Contextual clarity and precision,1.0
34,87,5,Enhancing clarity and precision through rephrasing and synthesizing complex information.,Rephrasing and synthesizing complex information,-1.0
35,167,3,Drafting empathetic and precise professional communications,Empathetic professional communication,1.0
36,144,4,Crafting effective and empathetic professional communications,Empathetic professional messaging,1.0
37,164,3,"Enhancing and refining written communication for clarity, coherence, precision, and grammatical accuracy",Refining communication for clarity and accuracy,1.0
38,120,4,"Enhancing and refining written communication for clarity, coherence, precision, and formal style through editing, analysis, and collaboration.","Editing for clarity, coherence, and style",1.0
39,225,3,"Crafting diverse and impactful written communication through structured, engaging, and emotionally resonant narratives",Emotionally resonant narrative crafting,1.0
40,123,4,Crafting impactful and versatile messaging,Versatile impactful messaging,1.0
