node,gemma2-2b-it,llama3.2-3b-instruct
0,0.6166776532630192,0.3833223467369809
1,0.6689419795221843,0.3310580204778157
2,0.6263736263736264,0.37362637362637363
3,0.6272727272727272,0.37272727272727274
4,0.6941176470588235,0.3058823529411765
5,0.6901408450704225,0.30985915492957744
6,0.7017543859649122,0.2982456140350877
7,0.6132075471698113,0.3867924528301887
8,0.6373626373626373,0.3626373626373626
9,0.6567164179104478,0.34328358208955223
10,0.5520833333333333,0.4479166666666667
11,0.5667938931297709,0.43320610687022904
12,0.5,0.5
13,0.43617021276595747,0.5638297872340425
14,0.46354166666666663,0.5364583333333334
15,0.4606741573033708,0.5393258426966292
16,0.4035087719298246,0.5964912280701754
17,0.6689189189189189,0.3310810810810811
18,0.6287878787878788,0.3712121212121212
19,0.6517857142857143,0.3482142857142857
20,0.6663286004056795,0.33367139959432046
21,0.6085714285714285,0.3914285714285714
22,0.5803571428571428,0.41964285714285715
23,0.607843137254902,0.39215686274509803
24,0.6981132075471699,0.3018867924528302
25,0.625,0.375
26,0.676056338028169,0.323943661971831
27,0.6833333333333333,0.31666666666666665
28,0.6896551724137931,0.3103448275862069
29,0.7169811320754718,0.2830188679245283
30,0.7,0.3
31,0.6691896705253785,0.3308103294746215
32,0.5327380952380952,0.46726190476190477
33,0.515625,0.484375
34,0.4885057471264368,0.5114942528735632
35,0.6017964071856288,0.39820359281437123
36,0.6041666666666667,0.3958333333333333
37,0.5975609756097561,0.4024390243902439
38,0.6375,0.3625
39,0.6755555555555556,0.3244444444444444
40,0.7479674796747968,0.25203252032520324
41,0.7479338842975207,0.25206611570247933
42,0.7347826086956522,0.26521739130434785
43,0.9,0.1
44,0.6510791366906474,0.3489208633093525
45,0.6564885496183206,0.3435114503816794
46,0.9214285714285715,0.07857142857142857
47,0.9807692307692307,0.019230769230769232
48,0.875,0.125
49,0.47184337879454463,0.5281566212054554
50,0.39317507418397624,0.6068249258160238
51,0.4430051813471503,0.5569948186528497
52,0.45058139534883723,0.5494186046511628
53,0.4193548387096774,0.5806451612903226
54,0.32638888888888884,0.6736111111111112
55,0.3709677419354839,0.6290322580645161
56,0.48269230769230764,0.5173076923076924
57,0.4558823529411765,0.5441176470588235
58,0.5135135135135135,0.4864864864864865
59,0.48809523809523814,0.5119047619047619
60,0.4726224783861671,0.5273775216138329
61,0.5,0.5
62,0.543859649122807,0.45614035087719296
63,0.4571428571428572,0.5428571428571428
64,0.5094339622641509,0.49056603773584906
65,0.48026315789473684,0.5197368421052632
66,0.388235294117647,0.611764705882353
67,0.375,0.625
68,0.36363636363636365,0.6363636363636364
69,0.3650793650793651,0.6349206349206349
70,0.38983050847457623,0.6101694915254238
71,0.34328358208955223,0.6567164179104478
72,0.5798429319371727,0.4201570680628272
73,0.515625,0.484375
74,0.6060606060606061,0.3939393939393939
75,0.6058823529411765,0.3941176470588235
76,0.44940476190476186,0.5505952380952381
77,0.4626865671641791,0.5373134328358209
78,0.44059405940594054,0.5594059405940595
79,0.5362776025236593,0.4637223974763407
80,0.4807692307692307,0.5192307692307693
81,0.5086206896551724,0.49137931034482757
82,0.5175438596491229,0.4824561403508772
83,0.47282608695652173,0.5271739130434783
84,0.463855421686747,0.536144578313253
85,0.6029532403609517,0.3970467596390484
86,0.565989847715736,0.434010152284264
87,0.5194174757281553,0.48058252427184467
88,0.5837209302325581,0.41627906976744183
89,0.5731707317073171,0.4268292682926829
90,0.5616438356164384,0.4383561643835616
91,0.6071428571428572,0.39285714285714285
92,0.5789473684210527,0.42105263157894735
