subset,mean_kendall_tau,std_kendall_tau,num_instances
abstract_algebra,0.6680399966130663,0.08482694953550891,100
anatomy,0.5532709096927315,0.15131055854208061,135
astronomy,0.7102233452678874,0.09712766704795249,152
business_ethics,0.4040476137645081,0.15628437212256768,100
clinical_knowledge,0.6100340648971866,0.15136982289571907,265
college_biology,0.7479068250299946,0.09003602954661481,144
college_chemistry,0.628724798146861,0.11927321426773523,100
college_computer_science,0.5308609144695149,0.10612568405113414,100
college_mathematics,0.6339834581012078,0.09968420569025953,100
college_medicine,0.5424605618715496,0.10501592445008465,173
college_physics,0.5999241183483754,0.15471532035268853,102
computer_security,0.321191888072753,0.19094742046929508,100
conceptual_physics,0.8496682336056673,0.06679955539817217,235
econometrics,0.7115403043946354,0.11329710013309162,114
electrical_engineering,0.7011418428511073,0.12448823426574993,145
elementary_mathematics,0.7898920820433062,0.08651096557356096,378
formal_logic,0.6312343732689266,0.09883043233685491,126
global_facts,0.5456711557999783,0.13466226364118516,100
high_school_biology,0.7817641941662679,0.09055527563804558,310
high_school_chemistry,0.7439585015578274,0.07230035341529685,203
high_school_computer_science,0.719190458505218,0.112690437157017,100
high_school_european_history,0.5780987365366183,0.10913507078384872,165
high_school_geography,0.6253346635933156,0.12876528208817953,198
high_school_government_and_politics,0.6130322228774816,0.10061146374948023,193
high_school_macroeconomics,0.8441520642251729,0.07369008784375147,390
high_school_mathematics,0.5908246527513809,0.101385140311889,270
high_school_microeconomics,0.7821340537448853,0.0767682295038353,238
high_school_physics,0.6838093894026711,0.10879745432453974,151
high_school_psychology,0.775513645109882,0.07667725238770506,545
high_school_statistics,0.6534373444990126,0.10495253761237412,216
high_school_us_history,0.7029667992734968,0.10940687005680258,204
high_school_world_history,0.8143924902436201,0.0705567331158826,237
human_aging,0.7436162705706496,0.13548048727673756,223
human_sexuality,0.4525643973457405,0.09954730122294467,131
international_law,0.6707104922107646,0.10561368226967927,121
jurisprudence,0.7769742215786439,0.10221985009131919,108
logical_fallacies,0.5749651996262972,0.12643484187516466,163
machine_learning,0.7966794782639548,0.09256177470744081,112
management,0.3005483158853864,0.2208384025826049,103
marketing,0.3925388926353247,0.1693024655047273,234
medical_genetics,0.6419047701906655,0.10803435316841982,100
miscellaneous,0.6772757981762699,0.10149214083607447,783
moral_disputes,0.6524218978075689,0.11657964719233635,346
moral_scenarios,0.9042160731309126,0.06689111928729832,895
nutrition,0.7271207502334073,0.09357154502390601,306
philosophy,0.7372988933967387,0.09041842726961218,311
prehistory,0.8083003791055324,0.10515026165463699,324
professional_accounting,0.7418237524420114,0.08247696114305314,282
professional_law,0.7955002166142521,0.06641054111164849,1534
professional_medicine,0.6782043495280863,0.08280927069755398,272
professional_psychology,0.7620020889570823,0.10083461022050616,612
public_relations,0.5533049295983496,0.16148942976085107,110
security_studies,0.5576541438378353,0.11896389286656303,245
sociology,0.5668935484139173,0.13525909069680284,201
us_foreign_policy,0.4780375648149878,0.1676561008890041,100
virology,0.09189079845964146,0.2038339802219891,166
world_religions,0.514229694407933,0.14802340097074207,171
