subset,mean_kendallw,std_kendallw,num_instances
abstract_algebra,0.6266066332927018,0.05281604013194761,100
anatomy,0.35571037412495743,0.04836854609835652,135
astronomy,0.6246507709352727,0.05360958533774925,152
business_ethics,0.23891074465651896,0.037077331081448964,100
clinical_knowledge,0.42908150684953544,0.05687208014118311,265
college_biology,0.5645117856627684,0.05602272535529925,144
college_chemistry,0.41763857418396044,0.05350635486690064,100
college_computer_science,0.49739280496817223,0.05647016777850461,100
college_mathematics,0.5493781953513563,0.04749328467440684,100
college_medicine,0.3928751790431624,0.0553321791051794,173
college_physics,0.3966148626227722,0.05202331767505495,102
computer_security,0.1847598778080652,0.03285732903607107,100
conceptual_physics,0.7525844454480028,0.04022969922300966,235
econometrics,0.5104116674789657,0.056678995813896106,114
electrical_engineering,0.46329668911428723,0.05665729700176749,145
elementary_mathematics,0.7351282555159662,0.03869953956083626,378
formal_logic,0.5440644963482909,0.05693365161876073,126
global_facts,0.30257511078183186,0.0442574013620116,100
high_school_biology,0.6692260254080338,0.04777555720592126,310
high_school_chemistry,0.7188419386938135,0.04231128763951195,203
high_school_computer_science,0.5173325922684932,0.05280630788700266,100
high_school_european_history,0.36652804636302067,0.05103977684333167,165
high_school_geography,0.44137342664252055,0.05726147131481417,198
high_school_government_and_politics,0.5905662258952372,0.05140345106984218,193
high_school_macroeconomics,0.8117632980619593,0.03015340212672985,390
high_school_mathematics,0.6845464732711286,0.03856352710992652,270
high_school_microeconomics,0.7466649089131928,0.040509510536580966,238
high_school_physics,0.6864437035097068,0.03777064127070622,151
high_school_psychology,0.6601043979130939,0.050541686303983736,545
high_school_statistics,0.6940329736500628,0.04155299213728074,216
high_school_us_history,0.5252178278275519,0.06287168708225606,204
high_school_world_history,0.6473468692323129,0.051963959423804974,237
human_aging,0.4754709887480501,0.060952503163745356,223
human_sexuality,0.39800613273691965,0.05600375085849188,131
international_law,0.4778755048597522,0.06047037885465521,121
jurisprudence,0.53137857667365,0.056610084974201,108
logical_fallacies,0.42398157642742196,0.05070237857960504,163
machine_learning,0.5934220200665952,0.054539988436508716,112
management,0.1556128963397737,0.03445556796751656,103
marketing,0.28073474847253166,0.04577676614748344,234
medical_genetics,0.4795124686209443,0.055855317164133805,100
miscellaneous,0.6954215557305558,0.04728576467626599,783
moral_disputes,0.6541502024261843,0.05007152148229651,346
moral_scenarios,0.9343490202392666,0.009615171105849885,895
nutrition,0.6220056905193353,0.050026862660052955,306
philosophy,0.6179244289711744,0.0525269856139056,311
prehistory,0.6900600678709039,0.04743742463782434,324
professional_accounting,0.781268295228855,0.03101580915907128,282
professional_law,0.8795663180516435,0.015681170885508435,1534
professional_medicine,0.7160042835231755,0.04467323905378725,272
professional_psychology,0.7753050466750216,0.029883293870929764,612
public_relations,0.338360265816333,0.04981111351074914,110
security_studies,0.43881567282501144,0.057145709130011026,245
sociology,0.41134522928802075,0.0532954497745623,201
us_foreign_policy,0.2707534752272772,0.044145838592323114,100
virology,0.12112699784068505,0.02750029453510006,166
world_religions,0.24753462992070577,0.04364179188354975,171
